,cate,tt,dt,game_id,series,complete
412,2,20210420WOHH02021-1.mp4,2.565352201,20210420WOHH02021,1,x
1146,6,20210606SKOB02021-3.mp4,2.536880493,20210606SKOB02021,3,x
292,1,20210413NCSK02021-1.mp4,2.534102201,20210413NCSK02021,1,x
1094,5,20210604LTKT02021-3.mp4,2.526289701,20210604LTKT02021,3,x
252,1,20210410WOLT02021-1.mp4,2.511282444,20210410WOLT02021,1,x
1298,7,20210616SKHT12021-3.mp4,2.503469944,20210616SKHT12021,3,x
497,2,20210425LTKT02021-4.mp4,2.495657444,20210425LTKT02021,4,x
1097,6,20210604HHNC02021-2.mp4,2.421438694,20210604HHNC02021,2,x
773,4,20210513LGHT02021-2.mp4,2.410337687,20210513LGHT02021,2,x
1016,5,20210529OBSS02021-3.mp4,2.379087687,20210529OBSS02021,3,x
1359,7,20210619SKHH02021-2.mp4,2.360138676,20210619SKHH02021,2,x
1301,7,20210616SKHT22021-2.mp4,2.347837687,20210616SKHT22021,2,x
1441,8,20210624NCLT02021-1.mp4,2.325017929,20210624NCLT02021,1,x
912,5,20210522LGSK02021-3.mp4,2.323852539,20210522LGSK02021,3,x
1206,6,20210610WOHH02021-2.mp4,2.186530662,20210610WOHH02021,2,x
875,4,20210519WOSS02021-1.mp4,2.181104422,20210519WOSS02021,1,x
304,2,20210414LGWO02021-1.mp4,2.072347164,20210414LGWO02021,1,x
1055,5,20210601LTWO02021-1.mp4,2.006558657,20210601LTWO02021,1,x
1207,6,20210610WOHH02021-3.mp4,1.983842161,20210610WOHH02021,3,x
1166,6,20210608OBLT02021-3.mp4,1.940770149,20210608OBLT02021,3,x
486,2,20210424SKWO02021-2.mp4,1.933532715,20210424SKWO02021,2,x
277,1,20210413HHSS02021-2.mp4,1.929051399,20210413HHSS02021,2,x
525,3,20210427NCSS02021-1.mp4,1.922172546,20210427NCSS02021,1,x
1390,7,20210622HHSS02021-2.mp4,1.91960907,20210622HHSS02021,2,x
1496,9,20210627KTHH02021-3.mp4,1.869441815,20210627KTHH02021,3,x
31,1,20210322WOSS02021-1.mp4,1.762982589,20210322WOSS02021,1,x
32,1,20210322WOSS02021-2.mp4,1.761707347,20210322WOSS02021,2,x
111,1,20210330NCLT02021-2.mp4,1.761606175,20210330NCLT02021,2,x
110,1,20210330NCLT02021-1.mp4,1.759743367,20210330NCLT02021,1,x
92,1,20210328LTHH02021-2.mp4,1.75913771,20210328LTHH02021,2,x
4,1,20210321KTOB02021-2.mp4,1.753048057,20210321KTOB02021,2,x
1511,9,20210629NCHT02021-2.mp4,1.719349384,20210629NCHT02021,2,x
296,1,20210414HHSS02021-1.mp4,1.696006775,20210414HHSS02021,1,x
305,2,20210414LGWO02021-2.mp4,1.622310877,20210414LGWO02021,2,x
155,1,20210406HTWO02021-3.mp4,1.560428619,20210406HTWO02021,3,x
12,1,20210321SKNC02021-3.mp4,1.511054993,20210321SKNC02021,3,x
1217,6,20210611NCSS02021-3.mp4,1.482921362,20210611NCSS02021,3,x
1238,6,20210612WOSK02021-1.mp4,1.420421362,20210612WOSK02021,1,x
605,3,20210501SKOB02021-2.mp4,1.416515112,20210501SKOB02021,2,x
824,4,20210515SSLG02021-1.mp4,1.412608862,20210515SSLG02021,1,x
825,4,20210515SSLG02021-2.mp4,1.288844347,20210515SSLG02021,2,x
857,4,20210518WOSS02021-3.mp4,1.19961834,20210518WOSS02021,3,x
1242,6,20210613HTLT02021-3.mp4,1.17227459,20210613HTLT02021,3,x
1026,5,20210529WOLG02021-4.mp4,1.16836834,20210529WOLG02021,4,x
369,2,20210417SSLT02021-2.mp4,1.16446209,20210417SSLT02021,2,x
1225,6,20210611WOSK02021-3.mp4,1.14493084,20210611WOSK02021,3,x
97,1,20210328SSLG02021-1.mp4,1.12539959,20210328SSLG02021,1,x
1363,7,20210619SSLT02021-2.mp4,1.114298582,20210619SSLT02021,2,x
1467,8,20210626KTHH02021-1.mp4,1.106486082,20210626KTHH02021,1,x
1158,6,20210608KTSK02021-3.mp4,1.075236082,20210608KTSK02021,3,x
1435,8,20210624HTKT02021-3.mp4,1.052642822,20210624HTKT02021,3,x
681,3,20210508LTSS02021-2.mp4,0.978197575,20210508LTSS02021,2,x
617,3,20210502HTKT02021-1.mp4,0.950853825,20210502HTKT02021,1,x
1456,8,20210625LTOB02021-1.mp4,0.83490181,20210625LTOB02021,1,x
294,1,20210413NCSK02021-3.mp4,0.746190593,20210413NCSK02021,3,x
1037,5,20210530OBSS02021-2.mp4,0.738236785,20210530OBSS02021,2,x
397,2,20210420HTLG02021-2.mp4,0.69921875,20210420HTLG02021,2,x
160,1,20210406LGKT02021-3.mp4,0.687082052,20210406LGKT02021,3,x
301,2,20210414KTOB02021-2.mp4,0.663644552,20210414KTOB02021,2,x
419,2,20210421KTNC02021-1.mp4,0.651925802,20210421KTNC02021,1,x
1030,5,20210530KTHT02021-3.mp4,0.644731045,20210530KTHT02021,3,x
1088,5,20210603LTWO02021-3.mp4,0.597856045,20210603LTWO02021,3,x
1289,7,20210616LTHH12021-2.mp4,0.58921051,20210616LTHH12021,2,x
1446,8,20210624WOOB02021-2.mp4,0.5415802,20210624WOOB02021,2,x
831,4,20210517OBSK02021-1.mp4,0.485328674,20210517OBSK02021,1,x
415,2,20210421HTLG02021-1.mp4,0.295204163,20210421HTLG02021,1,x
1281,7,20210616KTNC02021-2.mp4,0.116569757,20210616KTNC02021,2,x
1325,7,20210617SSOB02021-2.mp4,0.112663507,20210617SSOB02021,2,x
1434,8,20210624HTKT02021-2.mp4,0.104851007,20210624HTKT02021,2,x
935,5,20210523LTOB02021-1.mp4,0.05859375,20210523LTOB02021,1,x
1445,8,20210624WOOB02021-1.mp4,0.030426025,20210624WOOB02021,1,x
76,1,20210326LTHT02021-2.mp4,0.005569095,20210326LTHT02021,2,o
80,1,20210326OBLG02021-2.mp4,0.005569095,20210326OBLG02021,2,o
87,1,20210326WONC02021-1.mp4,0.005569095,20210326WONC02021,1,o
91,1,20210328LTHH02021-1.mp4,0.005569095,20210328LTHH02021,1,x
98,1,20210328SSLG02021-2.mp4,0.005569095,20210328SSLG02021,2,o
100,1,20210328WOHT02021-1.mp4,0.005569095,20210328WOHT02021,1,o
101,1,20210328WOHT02021-2.mp4,0.005569095,20210328WOHT02021,2,o
103,1,20210329SKLG02021-1.mp4,0.005569095,20210329SKLG02021,1,o
107,1,20210330KTHT02021-2.mp4,0.005569095,20210330KTHT02021,2,o
112,1,20210330NCLT02021-3.mp4,0.005569095,20210330NCLT02021,3,x
114,1,20210330OBSS02021-1.mp4,0.005569095,20210330OBSS02021,1,o
115,1,20210330OBSS02021-2.mp4,0.005569095,20210330OBSS02021,2,o
121,1,20210330WOHH02021-1.mp4,0.005569095,20210330WOHH02021,1,o
127,1,20210403SSWO02021-3.mp4,0.005569095,20210403SSWO02021,3,o
130,1,20210404HHKT02021-2.mp4,0.005569095,20210404HHKT02021,2,o
133,1,20210404HTOB02021-1.mp4,0.005569095,20210404HTOB02021,1,o
134,1,20210404HTOB02021-2.mp4,0.005569095,20210404HTOB02021,2,o
138,1,20210404LGNC02021-2.mp4,0.005569095,20210404LGNC02021,2,o
139,1,20210404LGNC02021-3.mp4,0.005569095,20210404LGNC02021,3,o
606,3,20210501SKOB02021-3.mp4,0.005569095,20210501SKOB02021,3,x
683,3,20210508LTSS02021-4.mp4,0.005569095,20210508LTSS02021,4,x
765,4,20210512SSKT02021-1.mp4,0.005569095,20210512SSKT02021,1,x
141,1,20210404LTSK02021-1.mp4,0.004169231,20210404LTSK02021,1,x
147,1,20210404SSWO02021-3.mp4,0.004169231,20210404SSWO02021,3,o
600,3,20210501LGSS02021-1.mp4,0.004169231,20210501LGSS02021,1,x
602,3,20210501LGSS02021-3.mp4,0.004169231,20210501LGSS02021,3,x
763,4,20210512SKLT02021-3.mp4,0.004169231,20210512SKLT02021,3,x
137,1,20210404LGNC02021-1.mp4,0.001457881,20210404LGNC02021,1,o
149,1,20210406HHSK02021-1.mp4,0.001457881,20210406HHSK02021,1,o
151,1,20210406HHSK02021-3.mp4,0.001457881,20210406HHSK02021,3,o
4,,20210321KTOB02021-1.mp4,,20210321KTOB02021,1,x
470,,20210423SKWO02021-1.mp4,,20210423SKWO02021,1,x
631,,20210502WONC02021-1.mp4,,20210502WONC02021,1,x
688,,20210508NCKT02021-5.mp4,,20210508NCKT02021,5,x
